# header 	Uncorrected len	N (%)	len	GC (%)
>GPLIN_000000100	570	0.0	570	0.595
>GPLIN_000001000	303	0.0	303	0.525
>GPLIN_000001100	1740	0.0	1740	0.505
>GPLIN_000001200	255	0.0	255	0.482
>GPLIN_000001400	912	0.0	912	0.547
>GPLIN_000001500	7482	0.0	7482	0.584
>GPLIN_000001700	1263	0.0	1263	0.575
>GPLIN_000001800	252	0.0	252	0.476
>GPLIN_000000200	435	0.0	435	0.524
>GPLIN_000002000	2721	0.0	2721	0.566
>GPLIN_000002100	969	0.0	969	0.456
>GPLIN_000002400	339	0.0	339	0.543
>GPLIN_000002500	213	0.0	213	0.479
>GPLIN_000002600	324	0.0	324	0.491
>GPLIN_000002700	978	0.0	978	0.57
>GPLIN_000002900	201	0.0	201	0.682
>GPLIN_000000300	6567	0.0099	6502	0.568
>GPLIN_000003100	2166	0.0	2166	0.551
>GPLIN_000003300	5055	0.0	5055	0.511
>GPLIN_000003400	1182	0.0	1182	0.52
>GPLIN_000003500	1500	0.0	1500	0.509
>GPLIN_000003600	1014	0.0	1014	0.493
>GPLIN_000003900	384	0.0	384	0.638
>GPLIN_000000400	921	0.0	921	0.42
>GPLIN_000004000	1077	0.0	1077	0.581
>GPLIN_000004100	495	0.0	495	0.687
>GPLIN_000004300	1668	0.0	1668	0.607
>GPLIN_000004500	2238	0.0	2238	0.518
>GPLIN_000004600	1575	0.0	1575	0.538
>GPLIN_000004700	1413	0.0	1413	0.551
>GPLIN_000004800	285	0.0	285	0.572
>GPLIN_000004900	1041	0.0	1041	0.524
>GPLIN_000000500	279	0.0	279	0.484
>GPLIN_000005000	417	0.0	417	0.552
>GPLIN_000005100	333	0.0	333	0.595
>GPLIN_000005200	549	0.0	549	0.57
>GPLIN_000005300	1863	0.0	1863	0.531
>GPLIN_000005400	546	0.0	546	0.485
>GPLIN_000005500	435	0.0	435	0.471
>GPLIN_000005700	579	0.0	579	0.513
>GPLIN_000005800	2058	0.0	2058	0.494
>GPLIN_000005900	996	0.0	996	0.508
>GPLIN_000006000	2169	0.0	2169	0.559
>GPLIN_000006100	1131	0.0	1131	0.564
>GPLIN_000006400	1722	0.0	1722	0.498
>GPLIN_000006600	3792	0.0	3792	0.522
>GPLIN_000006700	204	0.0	204	0.603
>GPLIN_000006800	1170	0.0	1170	0.485
>GPLIN_000006900	645	0.0	645	0.526
>GPLIN_000007000	201	0.0	201	0.667
>GPLIN_000007100	1938	0.0	1938	0.557
>GPLIN_000007200	207	0.0	207	0.507
>GPLIN_000007300	312	0.0	312	0.554
>GPLIN_000007400	303	0.0	303	0.492
>GPLIN_000007500	318	0.0	318	0.525
>GPLIN_000007700	6708	0.0	6708	0.48
>GPLIN_000007800	411	0.0	411	0.433
>GPLIN_000007900	342	0.0	342	0.523
>GPLIN_000008000	420	0.0	420	0.505
>GPLIN_000008100	267	0.00375	266	0.519
>GPLIN_000008200	312	0.0	312	0.615
>GPLIN_000000800	1650	0.0	1650	0.493
>GPLIN_000008300	1200	0.0	1200	0.446
>GPLIN_000008400	1338	0.0	1338	0.47
>GPLIN_000008500	402	0.0	402	0.58
>GPLIN_000008600	342	0.0	342	0.529
>GPLIN_000008800	759	0.0	759	0.439
>GPLIN_000008900	1194	0.0	1194	0.444
>GPLIN_000000900	516	0.0	516	0.45
>GPLIN_000066500	774	0.0	774	0.496
>GPLIN_000066600	4401	0.0	4401	0.55
>GPLIN_000066700	405	0.0	405	0.333
>GPLIN_000066800	297	0.0	297	0.431
>GPLIN_000066900	357	0.0	357	0.381
>GPLIN_000067000	1404	0.0	1404	0.529
>GPLIN_000067100	216	0.0	216	0.546
>GPLIN_000067200	270	0.0	270	0.452
>GPLIN_000067300	777	0.0	777	0.454
>GPLIN_000067400	465	0.0	465	0.51
>GPLIN_000067500	576	0.0	576	0.512
>GPLIN_000067600	1584	0.0	1584	0.515
>GPLIN_000067700	588	0.0	588	0.553
>GPLIN_000067800	201	0.0	201	0.483
>GPLIN_000067900	276	0.0	276	0.42
>GPLIN_000068000	717	0.0	717	0.435
>GPLIN_000068100	1299	0.0	1299	0.508
>GPLIN_000068200	651	0.00154	650	0.545
>GPLIN_000065200	300	0.0	300	0.55
>GPLIN_000065300	2937	0.0	2937	0.567
>GPLIN_000065400	987	0.0	987	0.519
>GPLIN_000065500	450	0.0	450	0.469
>GPLIN_000065600	1860	0.0	1860	0.587
>GPLIN_000065700	1545	0.0	1545	0.584
>GPLIN_000065800	231	0.0	231	0.528
>GPLIN_000065900	813	0.0	813	0.481
>GPLIN_000066000	654	0.0	654	0.563
>GPLIN_000066100	498	0.0	498	0.468
>GPLIN_000066200	1293	0.0	1293	0.449
>GPLIN_000066300	1128	0.0	1128	0.465
>GPLIN_000066400	4251	0.0	4251	0.505
>GPLIN_000423500	810	0.0	810	0.531
>GPLIN_000423600	4050	0.0	4050	0.52
>GPLIN_000423700	5208	0.0	5208	0.504
>GPLIN_000423800	543	0.0	543	0.606
>GPLIN_000423900	342	0.0	342	0.459
>GPLIN_000424000	756	0.0	756	0.507
>GPLIN_000424100	5799	0.0	5799	0.522
>GPLIN_000424200	1464	0.0	1464	0.526
>GPLIN_000424300	819	0.0	819	0.493
>GPLIN_000424400	1614	0.0	1614	0.493
>GPLIN_000424500	264	0.0	264	0.47
>GPLIN_000424700	1536	0.0	1536	0.501
>GPLIN_000424800	2091	0.0	2091	0.509
>GPLIN_000424900	357	0.0	357	0.479
>GPLIN_000425000	2847	0.0	2847	0.504
>GPLIN_000425100	1617	0.0	1617	0.511
>GPLIN_000425200	1695	0.0	1695	0.515
>GPLIN_000425300	1494	0.0	1494	0.584
>GPLIN_000425400	3468	0.0	3468	0.569
>GPLIN_000425500	360	0.0	360	0.594
>GPLIN_001326500	534	0.0	534	0.571
>GPLIN_001326600	1068	0.0	1068	0.539
>GPLIN_001326700	3717	0.0	3717	0.532
>GPLIN_001326800	1980	0.0	1980	0.564
>GPLIN_001326900	3435	0.0	3435	0.568
>GPLIN_001327000	678	0.0	678	0.472
>GPLIN_001327100	831	0.0	831	0.513
>GPLIN_001327200	573	0.0	573	0.513
>GPLIN_001327300	681	0.0	681	0.602
>GPLIN_001327400	1056	0.0	1056	0.459
>GPLIN_001327500	1518	0.0	1518	0.48
>GPLIN_001327600	726	0.0	726	0.574
>GPLIN_001327700	855	0.0	855	0.547
>GPLIN_001327800	849	0.0	849	0.446
>GPLIN_001327900	2511	0.0	2511	0.46
>GPLIN_001328000	1011	0.0	1011	0.508
>GPLIN_001328100	456	0.0	456	0.52
>GPLIN_001328200	411	0.0	411	0.455
>GPLIN_001328300	777	0.0	777	0.512
>GPLIN_000425600	1338	0.0	1338	0.554
>GPLIN_000425700	348	0.0	348	0.506
>GPLIN_000425800	588	0.0	588	0.437
>GPLIN_000425900	246	0.0	246	0.48
>GPLIN_000426000	585	0.0	585	0.482
>GPLIN_000426100	363	0.0	363	0.468
>GPLIN_000426200	291	0.0	291	0.491
>GPLIN_000426300	390	0.0	390	0.477
>GPLIN_000426400	993	0.0	993	0.437
>GPLIN_000426500	309	0.0	309	0.518
>GPLIN_000426600	720	0.0	720	0.476
>GPLIN_000426700	1905	0.0	1905	0.461
>GPLIN_000426800	522	0.0	522	0.458
>GPLIN_000426900	285	0.00351	284	0.444
>GPLIN_000427000	831	0.0	831	0.477
>GPLIN_000427100	714	0.0	714	0.465
>GPLIN_000427200	207	0.0	207	0.507
>GPLIN_000427300	648	0.0	648	0.52
>GPLIN_000427400	516	0.0	516	0.525
>GPLIN_000427500	414	0.0	414	0.461
>GPLIN_000427600	537	0.0	537	0.533
>GPLIN_000427700	315	0.0	315	0.537
>GPLIN_000427800	663	0.0	663	0.474
>GPLIN_000427900	2064	0.0	2064	0.578
>GPLIN_000428000	492	0.0	492	0.425
>GPLIN_000428100	1881	0.0	1881	0.577
>GPLIN_000428200	249	0.0	249	0.506
>GPLIN_000428300	1152	0.0	1152	0.558
>GPLIN_000428400	1647	0.0	1647	0.583
>GPLIN_000428500	1689	0.0	1689	0.569
>GPLIN_000428600	1002	0.0	1002	0.503
>GPLIN_000428700	1542	0.0	1542	0.552
>GPLIN_000428800	5550	0.0	5550	0.558
>GPLIN_000428900	1416	0.0	1416	0.563
>GPLIN_000429000	1539	0.0	1539	0.533
>GPLIN_001328400	1266	0.0	1266	0.533
>GPLIN_001328500	1812	0.0	1812	0.578
>GPLIN_001328600	87	0.0	87	0.575
>GPLIN_001328700	1905	0.0	1905	0.452
>GPLIN_001328800	783	0.0	783	0.423
>GPLIN_001328900	639	0.0	639	0.549
>GPLIN_001329000	471	0.0	471	0.463
>GPLIN_001329100	639	0.0	639	0.468
>GPLIN_001329200	852	0.0	852	0.533
>GPLIN_001329300	1350	0.0	1350	0.507
>GPLIN_001329400	483	0.0	483	0.511
>GPLIN_001329500	609	0.0	609	0.539
>GPLIN_001329600	951	0.0	951	0.524
>GPLIN_001329700	516	0.0	516	0.55
>GPLIN_000429100	291	0.0	291	0.447
>GPLIN_000429200	291	0.0	291	0.54
>GPLIN_000429300	1164	0.000859	1163	0.62
>GPLIN_000429400	876	0.0	876	0.603
>GPLIN_000429500	1542	0.0	1542	0.554
>GPLIN_000429600	579	0.0	579	0.542
>GPLIN_000429700	591	0.0	591	0.594
>GPLIN_000429800	2094	0.0	2094	0.579
>GPLIN_000429900	3486	0.0	3486	0.534
>GPLIN_000430000	1014	0.0	1014	0.53
>GPLIN_000430100	300	0.0	300	0.47
>GPLIN_000430200	630	0.0	630	0.479
>GPLIN_000430300	717	0.0	717	0.503
>GPLIN_000430400	2733	0.0	2733	0.559
>GPLIN_000430500	486	0.0	486	0.506
>GPLIN_000430600	480	0.0	480	0.54
>GPLIN_000430700	2190	0.0	2190	0.545
>GPLIN_000430800	2007	0.0	2007	0.526
>GPLIN_000430900	555	0.0	555	0.526
>GPLIN_000431000	627	0.0	627	0.499
>GPLIN_000431100	594	0.0	594	0.493
>GPLIN_000431200	1710	0.0	1710	0.512
>GPLIN_000431300	1134	0.0	1134	0.473
>GPLIN_000431400	906	0.0	906	0.491
>GPLIN_000431500	270	0.0	270	0.481
>GPLIN_000431600	729	0.0	729	0.569
>GPLIN_000431700	213	0.0	213	0.732
>GPLIN_000431800	1437	0.0	1437	0.511
>GPLIN_000431900	492	0.0	492	0.463
>GPLIN_000432000	351	0.0	351	0.453
>GPLIN_000432100	561	0.0	561	0.43
