# header 	Uncorrected len	N (%)	len	GC (%)
>pathogens_Gpal_scaffold_944	31515	0.0479	30004	0.435
>pathogens_Gpal_scaffold_3145	2581	0.0	2581	0.402
>pathogens_Gpal_scaffold_3381	2279	0.00351	2271	0.371
>pathogens_Gpal_scaffold_8403	1043	0.0	1043	0.375
>pathogens_Gpal_scaffold_2070	6291	0.206	4996	0.258
>pathogens_Gpal_scaffold_5153	1374	0.0	1374	0.41
>pathogens_Gpal_scaffold_2573	3794	0.429	2165	0.374
>pathogens_Gpal_scaffold_6909	1137	0.0	1137	0.291
>pathogens_Gpal_scaffold_8725	1008	0.0	1008	0.29
>pathogens_Gpal_scaffold_7248	1091	0.0	1091	0.341
>pathogens_Gpal_scaffold_5782	1273	0.00393	1268	0.4
>pathogens_Gpal_scaffold_8230	1038	0.0	1038	0.428
>pathogens_Gpal_scaffold_8775	1007	0.000993	1006	0.384
>pathogens_Gpal_scaffold_2041	6586	0.0	6586	0.257
>pathogens_Gpal_scaffold_7250	1108	0.0	1108	0.478
>pathogens_Gpal_scaffold_4491	1545	0.0	1545	0.412
>pathogens_Gpal_scaffold_2826	3209	0.0	3209	0.248
>pathogens_Gpal_scaffold_1778	8669	0.652	3016	0.382
>pathogens_Gpal_scaffold_3058	2742	0.0	2742	0.381
>pathogens_Gpal_scaffold_7879	1062	0.0	1062	0.254
>pathogens_Gpal_scaffold_2431	4198	0.0	4198	0.245
>pathogens_Gpal_scaffold_6696	1158	0.0	1158	0.267
>pathogens_Gpal_scaffold_7007	1129	0.0	1129	0.405
>pathogens_Gpal_scaffold_7706	1067	0.0	1067	0.24
>pathogens_Gpal_scaffold_3128	2614	0.0	2614	0.403
>pathogens_Gpal_scaffold_373	101844	0.124	89266	0.423
>pathogens_Gpal_scaffold_2895	3070	0.0	3070	0.291
>pathogens_Gpal_scaffold_2321	4653	0.212	3665	0.318
>pathogens_Gpal_scaffold_6087	1227	0.0	1227	0.389
>pathogens_Gpal_scaffold_4799	1460	0.0	1460	0.41
>pathogens_Gpal_scaffold_2987	2887	0.000346	2886	0.362
>pathogens_Gpal_scaffold_3508	2144	0.0	2144	0.366
>pathogens_Gpal_scaffold_3467	2190	0.000913	2188	0.461
>pathogens_Gpal_scaffold_4281	1628	0.0	1628	0.416
>pathogens_Gpal_scaffold_6663	1162	0.000861	1161	0.441
>pathogens_Gpal_scaffold_4673	1496	0.0	1496	0.302
>pathogens_Gpal_scaffold_5126	1378	0.0	1378	0.259
>pathogens_Gpal_scaffold_6871	1142	0.0035	1138	0.409
>pathogens_Gpal_scaffold_5229	1355	0.0	1355	0.388
>pathogens_Gpal_scaffold_4753	1467	0.0	1467	0.498
>pathogens_Gpal_scaffold_86	229481	0.146	196072	0.374
>pathogens_Gpal_scaffold_6778	1153	0.0	1153	0.265
>pathogens_Gpal_scaffold_1497	12504	8e-05	12503	0.37
>pathogens_Gpal_scaffold_2970	2914	0.0	2914	0.356
>pathogens_Gpal_scaffold_3656	2001	0.0	2001	0.427
>pathogens_Gpal_scaffold_3635	2021	0.0	2021	0.329
>pathogens_Gpal_scaffold_7285	1107	0.0	1107	0.279
>pathogens_Gpal_scaffold_3846	1857	0.0	1857	0.224
>pathogens_Gpal_scaffold_8406	1028	0.00875	1019	0.488
>pathogens_Gpal_scaffold_8984	848	0.0	848	0.567
>pathogens_Gpal_scaffold_7046	1126	0.0133	1111	0.458
>pathogens_Gpal_scaffold_8001	1054	0.0	1054	0.468
>pathogens_Gpal_scaffold_1610	10448	0.0	10448	0.323
>pathogens_Gpal_scaffold_911	33262	0.426	19088	0.33
>pathogens_Gpal_scaffold_5568	1296	0.0	1296	0.407
>pathogens_Gpal_scaffold_4884	1436	0.0	1436	0.276
>pathogens_Gpal_scaffold_4373	1592	0.0	1592	0.447
>pathogens_Gpal_scaffold_1640	10089	0.0	10089	0.366
>pathogens_Gpal_scaffold_6850	1143	0.0	1143	0.374
>pathogens_Gpal_scaffold_5765	1268	0.0	1268	0.386
>pathogens_Gpal_scaffold_8722	1010	0.00891	1001	0.509
>pathogens_Gpal_scaffold_8174	1046	0.0	1046	0.407
>pathogens_Gpal_scaffold_5182	1366	0.00293	1362	0.222
>pathogens_Gpal_scaffold_2458	4105	0.0	4105	0.415
>pathogens_Gpal_scaffold_2950	2946	0.0	2946	0.341
>pathogens_Gpal_scaffold_6776	1151	0.0	1151	0.418
>pathogens_Gpal_scaffold_1859	8119	0.391	4944	0.298
>pathogens_Gpal_scaffold_4634	1508	0.0	1508	0.393
>pathogens_Gpal_scaffold_9075	682	0.0	682	0.32
>pathogens_Gpal_scaffold_6459	1184	0.0	1184	0.27
>pathogens_Gpal_scaffold_1669	9704	0.602	3864	0.289
>pathogens_Gpal_scaffold_988	28724	0.269	20985	0.402
>pathogens_Gpal_scaffold_8594	1017	0.0	1017	0.357
>pathogens_Gpal_scaffold_3880	1834	0.0	1834	0.422
>pathogens_Gpal_scaffold_2636	3609	0.0	3609	0.278
>pathogens_Gpal_scaffold_5139	1377	0.0	1377	0.314
>pathogens_Gpal_scaffold_420	91475	0.268	66948	0.41
>pathogens_Gpal_scaffold_4487	1550	0.0	1550	0.368
>pathogens_Gpal_scaffold_3173	2546	0.0	2546	0.384
>pathogens_Gpal_scaffold_3191	2518	0.0	2518	0.263
>pathogens_Gpal_scaffold_6689	1159	0.0	1159	0.285
>pathogens_Gpal_scaffold_2116	5903	0.0	5903	0.305
>pathogens_Gpal_scaffold_4307	1612	0.0	1612	0.386
>pathogens_Gpal_scaffold_2387	4364	0.0	4364	0.494
>pathogens_Gpal_scaffold_5203	1362	0.0	1362	0.51
>pathogens_Gpal_scaffold_3805	1886	0.0	1886	0.245
>pathogens_Gpal_scaffold_5179	1374	0.0	1374	0.282
>pathogens_Gpal_scaffold_7014	1128	0.00177	1126	0.459
>pathogens_Gpal_scaffold_174	168113	0.258	124813	0.393
>pathogens_Gpal_scaffold_7641	1081	0.0	1081	0.277
>pathogens_Gpal_scaffold_3455	2197	0.0	2197	0.386
